Adresse,CodePostal,Arrondissement ,idParcelle,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
25 B RUE ROUSSY | 25 RUE ROUSSY,69384,Lyon 4e Arrondissement,69384000AM0012,45.775779,4.822019,0.3070080035650624,,25bis Rue Philibert Roussy 69004 Lyon,housenumber,69384_6160_00025_bis,25bis,25bis Rue Philibert Roussy,Rue Philibert Roussy,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
25 BOULEVARD DE LA CROIX ROUSSE | 27 BOULEVARD DE LA CROIX ROUSSE,69384,Lyon 4e Arrondissement,69384000AH0071,45.772669,4.81957,0.4842233930857874,0.3782162237762237,25 Boulevard de la Croix-Rousse 69004 Lyon,housenumber,69384_2005_00025,25,25 Boulevard de la Croix-Rousse,Boulevard de la Croix-Rousse,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
25 COURS D HERBOUVILLE,69384,Lyon 4e Arrondissement,69384000BD0019,45.777085,4.839921,0.7866845454545455,,25 Cours d'Herbouville 69004 Lyon,housenumber,69384_3530_00025,25,25 Cours d'Herbouville,Cours d'Herbouville,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
25 RUE CHAZIERE,69384,Lyon 4e Arrondissement,69384000AE0081,45.775308,4.817974,0.7332667588932805,0.4219700940438871,25 Rue Chazière 69004 Lyon,housenumber,69384_1600_00025,25,25 Rue Chazière,Rue Chazière,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
25 RUE D AUSTERLITZ,69384,Lyon 4e Arrondissement,69384000BE0108,45.775056,4.835616,0.7643461616161616,,25 Rue d'Austerlitz 69004 Lyon,housenumber,69384_0570_00025,25,25 Rue d'Austerlitz,Rue d'Austerlitz,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
25 RUE DE NUITS,69384,Lyon 4e Arrondissement,69384000AX0117,45.778033,4.836323,0.7286303952569169,,25 Rue de Nuits 69004 Lyon,housenumber,69384_5095_00025,25,25 Rue de Nuits,Rue de Nuits,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
25 RUE DU CHARIOT D OR,69384,Lyon 4e Arrondissement,69384000AW0238,45.777625,4.836355,0.7855254545454545,,25 Rue du Chariot d'Or 69004 Lyon,housenumber,69384_1480_00025,25,25 Rue du Chariot d'Or,Rue du Chariot d'Or,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
25 RUE HENON,69384,Lyon 4e Arrondissement,69384000AS0067,45.779459,4.830029,0.4374797326203208,,25 Rue Jacques-Louis Hénon 69004 Lyon,housenumber,69384_3465_00025,25,25 Rue Jacques-Louis Hénon,Rue Jacques-Louis Hénon,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
25 RUE PERNON,69384,Lyon 4e Arrondissement,69384000AD0143,45.777519,4.818284,0.7056115584415584,,25 Rue Pernon 69004 Lyon,housenumber,69384_5350_00025,25,25 Rue Pernon,Rue Pernon,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
41 RUE GERMAIN,69386,Lyon 6e Arrondissement,69386000AX0024,45.765264,4.867732,0.7218115702479339,,41 Rue Germain 69006 Lyon,housenumber,69386_3215_00041,41,41 Rue Germain,Rue Germain,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
